つうがく | tsuugaku | commuting to school; school commute | [sound:ic_nrkt_tsuugaku.mp3]
うんてん | unten | operation; driving | [sound:ic_nrkt_unten.mp3]
わるぐち | waruguchi | slander; bad-mouthing; abuse; insult; speaking ill (of) | [sound:ic_nrkt_waruguchi.mp3]
よあけ | yoake | dawn; daybreak | [sound:ic_nrkt_yoake.mp3]
よぶん | yobun | extra; excess; surplus | [sound:ic_nrkt_yobun.mp3]
よみ | yomi | reading (of a kanji, situation, etc) | [sound:ic_nrkt_yomi.mp3]
よなか | yonaka | middle of the night; dead of night | [sound:ic_nrkt_yonaka.mp3]
ゆいいつ | yuiitsu | only; sole; unique | [sound:ic_nrkt_yuiitsu.mp3]
ゆにゅう | yunyuu | import; importation; introduction | [sound:ic_nrkt_yunyuu.mp3]
ゆしゅつ | yushutsu | export; exportation​ | [sound:ic_nrkt_yushutsu.mp3]
ゆうべ | yuube | evening /  last night; yesterday evening | [sound:ic_nrkt_yuube.mp3]
ゆうり | yuuri | advantageous; favorable; profitable | [sound:ic_nrkt_yuuri.mp3]
ぜんこく | zenkoku | the whole country | [sound:ic_nrkt_zenkoku.mp3]
